pathway,NES,padj,size
RNA Capping (GO:0036260),1.2969823141708263,0.46987929940223694,7
7-Methylguanosine Cap Hypermethylation (GO:0036261),1.2969823141708263,0.46987929940223694,7
Response To Organophosphorus (GO:0046683),1.2968579894278878,0.4871734082698822,18
Extracellular Structure Organization (GO:0043062),1.2965603267470294,0.23651015758514404,109
Regulation Of Transforming Growth Factor Beta1 Production (GO:0032908),1.296361843434903,0.46987929940223694,6
Nuclear Export (GO:0051168),1.295414139635851,0.37328392267227173,49
Regulation Of Tissue Remodeling (GO:0034103),1.295294285153771,0.45192426443099976,19
AMP Biosynthetic Process (GO:0006167),1.295202106420733,0.4867369532585144,8
Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510),1.2946184080936514,0.489155650138855,7
Regulation Of Lymphocyte Proliferation (GO:0050670),1.2945728128509288,0.4408067762851715,18
Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280),1.2944741299535854,0.4933852553367615,6
Pronephros Development (GO:0048793),1.294166635921542,0.46987929940223694,5
Macrophage Activation Involved In Immune Response (GO:0002281),1.293568323271739,0.4622909426689148,11
Negative Regulation Of Protein Metabolic Process (GO:0051248),1.2929382258619815,0.150420144200325,147
Autophagosome Membrane Docking (GO:0016240),1.292712368522648,0.45701852440834045,6
snRNA 3'-End Processing (GO:0034472),1.2922837804923124,0.45219385623931885,22
Positive Regulation Of Membrane Invagination (GO:1905155),1.2921519637494199,0.5171025991439819,8
DNA Catabolic Process (GO:0006308),1.2918756621379268,0.46207672357559204,19
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.291699163405861,0.2835230231285095,87
IMP Metabolic Process (GO:0046040),1.2916987379363674,0.4867369532585144,9
Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573),1.2916008021927745,0.4589797556400299,25
Ornithine Metabolic Process (GO:0006591),1.2914160548162779,0.47960329055786133,9
HALLMARK_APICAL_SURFACE,1.2909771664434417,0.41200339794158936,44
Glycosphingolipid Catabolic Process (GO:0046479),1.29089967768495,0.4829012453556061,9
Regulation Of Neutrophil Extravasation (GO:2000389),1.2908251651998432,0.48057621717453003,5
Positive Regulation Of Chemotaxis (GO:0050921),1.2908040791148034,0.394832044839859,44
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Endoplasmic Reticulum Stress (GO:1990440),1.290698074582959,0.4741283059120178,10
Platelet Dense Granule Organization (GO:0060155),1.2906456825393358,0.46987929940223694,22
Protein Secretion (GO:0009306),1.290548755399216,0.3718786835670471,67
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230),1.2902532705515306,0.4373460114002228,25
Amyloid-Beta Formation (GO:0034205),1.2902220090415142,0.4853323698043823,8
"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",1.2898657792914554,0.46215808391571045,23
Positive Regulation Of Mitochondrial Calcium Ion Concentration (GO:0051561),1.289166253691021,0.4829012453556061,8
Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901836),1.2891255542097644,0.48917824029922485,13
Ceramide Catabolic Process (GO:0046514),1.2890771667423269,0.4945102035999298,15
Regulation Of Vacuole Organization (GO:0044088),1.2889138576846124,0.4945102035999298,17
DNA Unwinding Involved In DNA Replication (GO:0006268),1.2888038544967573,0.49137258529663086,20
Regulation Of Necrotic Cell Death (GO:0010939),1.2882090196315032,0.4647471308708191,8
Regulation Of Mitochondrial Translation (GO:0070129),1.2873951840153097,0.46491384506225586,22
Toll-Like Receptor Signaling Pathway (GO:0002224),1.2870007430280406,0.45558035373687744,31
Eye Photoreceptor Cell Development (GO:0042462),1.286853820924873,0.46634620428085327,13
Bone Development (GO:0060348),1.286513268305386,0.4210360646247864,44
Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway (GO:0032511),1.286137513325741,0.46987929940223694,25
Nucleobase-Containing Compound Biosynthetic Process (GO:0034654),1.2858386504291022,0.4945102035999298,9
Import Into Nucleus (GO:0051170),1.2858354829318464,0.35877731442451477,74
Fatty Acid Biosynthetic Process (GO:0006633),1.2854733097956883,0.4052315056324005,65
Regulation Of Multicellular Organism Growth (GO:0040014),1.2854710689310667,0.47331300377845764,15
Cellular Response To dsRNA (GO:0071359),1.285353159928851,0.4871734082698822,17
Protein Import Into Nucleus (GO:0006606),1.285206171868266,0.37556442618370056,79
Myeloid Cell Activation Involved In Immune Response (GO:0002275),1.2851324975203402,0.49137258529663086,17
HALLMARK_PEROXISOME,1.2851219916793206,0.2829841077327728,104
Regulation Of Homotypic Cell-Cell Adhesion (GO:0034110),1.2850556360580838,0.4813818037509918,11
Proteasome Assembly (GO:0043248),1.284933164995278,0.4977106750011444,8
Positive Regulation Of Interleukin-18 Production (GO:0032741),1.2848914144340207,0.4622909426689148,5
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),1.2846947141508238,0.5017886757850647,18
ESCRT III Complex Disassembly (GO:1904903),1.2845257194349524,0.4945102035999298,9
ESCRT Complex Disassembly (GO:1904896),1.2845257194349524,0.4945102035999298,9
Regulation Of Mast Cell Activation (GO:0033003),1.2845253213068089,0.4945102035999298,9
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),1.2844659209441454,0.3511219322681427,61
Cholesterol Catabolic Process (GO:0006707),1.2837690375234094,0.4829012453556061,6
Sterol Catabolic Process (GO:0016127),1.2837690375234094,0.4829012453556061,6
Nucleosome Organization (GO:0034728),1.2833786670661504,0.4135339558124542,75
Negative Regulation Of Lipid Catabolic Process (GO:0050995),1.2833694258457828,0.4867369532585144,18
Regulation Of Lamellipodium Assembly (GO:0010591),1.2831487786890226,0.46987929940223694,33
Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021),1.2830491111144036,0.46987929940223694,27
Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),1.2822304826595687,0.4719395935535431,30
Regulation Of Leukocyte Activation (GO:0002694),1.2822252359098991,0.46987929940223694,14
Pinocytosis (GO:0006907),1.2819739575453761,0.5254340171813965,9
Cellular Response To Ionizing Radiation (GO:0071479),1.2818259053274477,0.41188451647758484,52
Macropinocytosis (GO:0044351),1.2817811247805497,0.5331870913505554,6
Negative Regulation Of T Cell Activation (GO:0050868),1.2812459254708888,0.3765866756439209,49
Mitotic Cytokinetic Process (GO:1902410),1.2807457583069533,0.49214571714401245,18
Negative Regulation Of Type I Interferon Production (GO:0032480),1.2806810742928483,0.4634954631328583,38
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206),1.2805647673479004,0.5046225190162659,10
AMP Metabolic Process (GO:0046033),1.2804291101479164,0.5061220526695251,11
Protein Maturation By Iron-Sulfur Cluster Transfer (GO:0097428),1.280421067196409,0.4963649809360504,14
Vesicle Cargo Loading (GO:0035459),1.2801879521383153,0.5033707022666931,25
Regulation Of Inflammatory Response To Wounding (GO:0106014),1.2800498260564483,0.4945102035999298,9
Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746),1.279767412597358,0.47952115535736084,5
Positive Regulation Of Epidermis Development (GO:0045684),1.2797641653578011,0.48917824029922485,9
Regulation Of Sequestering Of Triglyceride (GO:0010889),1.2795473939423019,0.48589038848876953,14
Protein Stabilization (GO:0050821),1.2793709772628863,0.17759902775287628,208
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),1.278906598359492,0.4030797481536865,49
Regulation Of Establishment Of T Cell Polarity (GO:1903903),1.278762727862376,0.489155650138855,5
Regulation Of Lysosomal Lumen pH (GO:0035751),1.2787516773877388,0.4867369532585144,25
Positive Regulation Of ATP Biosynthetic Process (GO:2001171),1.278702913895408,0.5033707022666931,8
Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Signaling Pathway (GO:2001267),1.2786494462779217,0.499721497297287,10
Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),1.278582482298406,0.4226781725883484,48
Peptidyl-Threonine Dephosphorylation (GO:0035970),1.2785677165920937,0.4945102035999298,17
Positive Regulation Of Protein Import Into Nucleus (GO:0042307),1.2781896868529439,0.45558035373687744,28
Positive Regulation Of Double-Strand Break Repair (GO:2000781),1.2779857751041297,0.3365987539291382,84
Regulation Of Protein Catabolic Process (GO:0042176),1.2778144879774396,0.2611103653907776,122
Protein Hexamerization (GO:0034214),1.2777251805380403,0.4945102035999298,8
Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),1.277279381333032,0.41399168968200684,56
Macrophage Differentiation (GO:0030225),1.277088718838167,0.4945102035999298,21
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)",1.2769789113297676,0.46987929940223694,8
mRNA 3'-End Processing By Stem-Loop Binding And Cleavage (GO:0006398),1.2767549261645736,0.48917824029922485,5
Serine Family Amino Acid Metabolic Process (GO:0009069),1.2767260190482839,0.5184127688407898,14
Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),1.27643420631699,0.44313350319862366,53
Negative Regulation Of Protein Polyubiquitination (GO:1902915),1.276141629532656,0.4977106750011444,5
Somite Development (GO:0061053),1.2760966392223896,0.4541208744049072,8
Skin Development (GO:0043588),1.2760936006830461,0.3929416239261627,68
Regulation Of DNA Binding (GO:0051101),1.2752455195752808,0.43767306208610535,48
COPII-coated Vesicle Cargo Loading (GO:0090110),1.2747961111765713,0.5046225190162659,14
Astrocyte Differentiation (GO:0048708),1.2747358301020042,0.4867369532585144,5
Regulation Of Fibrinolysis (GO:0051917),1.2740345068980048,0.49214571714401245,16
Response To Type I Interferon (GO:0034340),1.2737838456337696,0.5101048946380615,9
Macrophage Derived Foam Cell Differentiation (GO:0010742),1.2737564302972748,0.5225327014923096,6
Positive Regulation Of Response To Endoplasmic Reticulum Stress (GO:1905898),1.273578619867469,0.4945102035999298,18
Positive Regulation Of MHC Class II Biosynthetic Process (GO:0045348),1.2733156803846835,0.49949878454208374,10
Positive Regulation Of Keratinocyte Migration (GO:0051549),1.273032808279938,0.4977106750011444,9
Positive Regulation Of Endothelial Cell Chemotaxis (GO:2001028),1.27289585227241,0.5380476713180542,14
Neutrophil Migration (GO:1990266),1.2728214267687958,0.34489697217941284,77
Positive Regulation Of RNA Metabolic Process (GO:0051254),1.2719823595026813,0.4699059724807739,33
Protein Methylation (GO:0006479),1.271832299476845,0.4408067762851715,35
Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),1.2718061458754912,0.5171025991439819,19
Nuclear Membrane Organization (GO:0071763),1.2716225659784335,0.46987929940223694,26
Negative Regulation Of Endopeptidase Activity (GO:0010951),1.27134706169669,0.38873812556266785,66
Negative Regulation Of Bone Resorption (GO:0045779),1.270744728764516,0.4999225437641144,9
"Negative Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043518)",1.2707322722394059,0.4977106750011444,13
Response To Testosterone (GO:0033574),1.2701383130070993,0.4977106750011444,5
Ribose Phosphate Biosynthetic Process (GO:0046390),1.2699843301654736,0.5236487984657288,6
Positive Regulation Of Fibroblast Proliferation (GO:0048146),1.2697573015603008,0.4945102035999298,28
Gene Expression (GO:0010467),1.2697493274414922,0.212947815656662,296
Iron-Sulfur Cluster Assembly (GO:0016226),1.2690539558018568,0.4902673661708832,27
Metallo-Sulfur Cluster Assembly (GO:0031163),1.2690539558018568,0.4902673661708832,27
NADPH Regeneration (GO:0006740),1.2689755254294997,0.5522701740264893,12
Response To Increased Oxygen Levels (GO:0036296),1.2688565221737576,0.5171025991439819,6
Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),1.268433167173116,0.40243032574653625,56
Macromolecule Catabolic Process (GO:0009057),1.2680832984879735,0.3996434509754181,85
Positive Regulation Of Exosomal Secretion (GO:1903543),1.2679030128390403,0.48589038848876953,14
Pexophagy (GO:0000425),1.2674249270725917,0.4969160258769989,5
Carboxylic Acid Biosynthetic Process (GO:0046394),1.2668426004868936,0.5379948616027832,17
Positive Regulation Of Protein Localization To Nucleus (GO:1900182),1.266840412461298,0.37413960695266724,72
Negative Regulation Of Acute Inflammatory Response (GO:0002674),1.2665349041554141,0.5400316119194031,6
Dicarboxylic Acid Metabolic Process (GO:0043648),1.266519872750193,0.45953384041786194,50
Positive Regulation Of Oligodendrocyte Differentiation (GO:0048714),1.2662929546711674,0.4945102035999298,7
Toll-Like Receptor 3 Signaling Pathway (GO:0034138),1.2662174498488237,0.5046225190162659,6
Negative Regulation Of Viral Entry Into Host Cell (GO:0046597),1.2662065374906515,0.4945102035999298,18
Lactation (GO:0007595),1.2659988869682786,0.5285605192184448,8
Regulation Of T Cell Apoptotic Process (GO:0070232),1.2659325828251844,0.5017886757850647,11
Positive Regulation Of Activation Of Janus Kinase Activity (GO:0010536),1.2654575110214799,0.5046225190162659,6
Succinate Transport (GO:0015744),1.2652514644044226,0.5254340171813965,5
"Regulation Of CD8-positive, Alpha-Beta T Cell Differentiation (GO:0043376)",1.2647327082491393,0.5171025991439819,7
Regulation Of Golgi To Plasma Membrane Protein Transport (GO:0042996),1.2646928452037012,0.5379948616027832,7
Negative Regulation Of Lymphocyte Activation (GO:0051250),1.2645129307190688,0.4977106750011444,23
Ribosomal Large Subunit Assembly (GO:0000027),1.2638935365612554,0.5467710494995117,22
Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887),1.263842341538569,0.5488505959510803,5
Protein K11-linked Ubiquitination (GO:0070979),1.2637878121412602,0.4977106750011444,29
Positive Regulation Of Epidermal Cell Differentiation (GO:0045606),1.263635013063582,0.4945102035999298,18
Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250),1.263502520938428,0.4968549907207489,15
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),1.2632487373077639,0.5171025991439819,18
Negative Regulation Of Protein Catabolic Process (GO:0042177),1.2631891811251537,0.45558035373687744,54
"RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)",1.2631096888958462,0.5522701740264893,11
HALLMARK_APOPTOSIS,1.2630188385315608,0.2390851527452469,161
Ceramide Transport (GO:0035627),1.2629256076320752,0.5171025991439819,14
Astrocyte Activation (GO:0048143),1.262666270314527,0.5366083979606628,12
Glycoprotein Biosynthetic Process (GO:0009101),1.2625098535124226,0.36609601974487305,80
Defense Response To Gram-negative Bacterium (GO:0050829),1.2624581224736648,0.41851702332496643,75
Mitotic DNA Replication (GO:1902969),1.2624436058075583,0.5379948616027832,10
Deadenylation-Dependent Decapping Of Nuclear-Transcribed mRNA (GO:0000290),1.2622713415006777,0.5496026277542114,7
Lymphocyte Proliferation (GO:0046651),1.2622206449374365,0.4618546664714813,38
Regulation Of Cholesterol Biosynthetic Process (GO:0045540),1.2620910192891173,0.5379948616027832,15
Negative Regulation Of ATP-dependent Activity (GO:0032780),1.2619062254172864,0.5231448411941528,16
Positive Regulation Of Vascular Endothelial Cell Proliferation (GO:1905564),1.2616146153322036,0.5357865691184998,12
Receptor Signaling Pathway Via STAT (GO:0097696),1.2616032797576118,0.5171025991439819,31
Response To dsRNA (GO:0043331),1.2615726619159462,0.5171025991439819,25
Positive Regulation Of Receptor Catabolic Process (GO:2000646),1.2615314423017265,0.48619186878204346,6
Regulation Of Oxidative Phosphorylation (GO:0002082),1.2614535281413695,0.5052454471588135,17
Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),1.2613628520472477,0.5423935055732727,16
Positive Regulation Of Innate Immune Response (GO:0045089),1.2613570352843786,0.46987929940223694,45
HALLMARK_G2M_CHECKPOINT,1.261205077969468,0.18930251896381378,200
Regulation Of Tumor Necrosis Factor Production (GO:0032680),1.2610539308965418,0.28680408000946045,127
Regulation Of Dopamine Metabolic Process (GO:0042053),1.2610456243186488,0.5046225190162659,7
Negative Regulation Of Response To Wounding (GO:1903035),1.2609762643459164,0.4871734082698822,25
Regulation Of Interleukin-8 Production (GO:0032677),1.2607741750091424,0.3692803978919983,81
RNA Catabolic Process (GO:0006401),1.2604703613080497,0.4210360646247864,57
Regulation Of Protein Targeting To Mitochondrion (GO:1903214),1.2602946905215189,0.4945102035999298,39
Translational Elongation (GO:0006414),1.2600922934410947,0.4945102035999298,42
Amino Acid Transmembrane Transport (GO:0003333),1.2599302370831373,0.47240152955055237,42
Positive Regulation Of Monocyte Chemotaxis (GO:0090026),1.2596725578970587,0.5222299098968506,18
Regulation Of Cell Fate Commitment (GO:0010453),1.2595515459232067,0.5423935055732727,13
"Positive Regulation Of Phagocytosis, Engulfment (GO:0060100)",1.2592716633087826,0.5467710494995117,9
Negative Regulation Of Nervous System Development (GO:0051961),1.2592040346938103,0.5379948616027832,18
Regulation Of Double-Strand Break Repair (GO:2000779),1.2588309131083921,0.35862115025520325,88
Sequestering Of Extracellular Ligand From Receptor (GO:0035581),1.2587324182673134,0.5377837419509888,9
Phosphatidic Acid Biosynthetic Process (GO:0006654),1.2586894773133883,0.4945102035999298,29
Positive Regulation Of Viral Genome Replication (GO:0045070),1.258622181916155,0.4977106750011444,29
ER-associated Misfolded Protein Catabolic Process (GO:0071712),1.258601859766217,0.5367373824119568,9
Regulation Of Vesicle Size (GO:0097494),1.2583177367288114,0.5367373824119568,14
Regulation Of Protein Depolymerization (GO:1901879),1.258133240950913,0.5044128894805908,5
Spliceosomal snRNP Assembly (GO:0000387),1.25762242344614,0.4719395935535431,37
Engulfment Of Apoptotic Cell (GO:0043652),1.2575965665575641,0.5184127688407898,10
Defense Response To Gram-positive Bacterium (GO:0050830),1.2570935684774014,0.41188451647758484,85
Positive Regulation Of Sequestering Of Triglyceride (GO:0010890),1.257077298527867,0.4945102035999298,8
Protein Glycosylation (GO:0006486),1.2570225040557201,0.27724477648735046,147
Box C/D snoRNP Assembly (GO:0000492),1.2569816927461526,0.4977106750011444,8
Regulation Of DNA Metabolic Process (GO:0051052),1.2562806809826572,0.2675513029098511,124
Microvillus Organization (GO:0032528),1.2550199613856277,0.5522701740264893,13
Serine Family Amino Acid Biosynthetic Process (GO:0009070),1.2547666174869485,0.5651351809501648,10
Regulation Of Receptor Signaling Pathway Via STAT (GO:1904892),1.254609817905694,0.5236148834228516,17
Regulation Of Osteoclast Development (GO:2001204),1.2540892532972663,0.5522701740264893,6
Monoubiquitinated Protein Deubiquitination (GO:0035520),1.2537477813352516,0.4963649809360504,33
Regulation Of Epidermis Development (GO:0045682),1.2536194933513116,0.5184127688407898,8
Cellular Response To Radiation (GO:0071478),1.2535487517739616,0.47485828399658203,48
Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),1.2535317338385927,0.5423935055732727,13
Insulin Metabolic Process (GO:1901142),1.2535058788082818,0.557310163974762,9
Regulation Of Chromosome Organization (GO:0033044),1.2534490846017121,0.48917824029922485,43
Regulation Of Autophagy (GO:0010506),1.2532508307856143,0.17759902775287628,241
B Cell Chemotaxis (GO:0035754),1.2529599257477546,0.5314809679985046,5
RNA Biosynthetic Process (GO:0032774),1.2528256890639515,0.5171025991439819,29
peptidyl-S-diacylglycerol-L-cysteine Biosynthetic Process From Peptidyl-Cysteine (GO:0018231),1.2527617709406407,0.5330473184585571,22
peptidyl-L-cysteine S-palmitoylation (GO:0018230),1.2527617709406407,0.5330473184585571,22
Regulation Of Interleukin-17 Production (GO:0032660),1.2527522489993408,0.5044128894805908,34
B Cell Homeostasis (GO:0001782),1.2525817032995417,0.5468433499336243,9
DNA Strand Elongation (GO:0022616),1.2524779294012556,0.5405178666114807,12
Protein Localization To Synapse (GO:0035418),1.2524497162820154,0.5266523957252502,13
Protein Sumoylation (GO:0016925),1.2524071128131824,0.46987929940223694,46
Gamma-Delta T Cell Activation (GO:0046629),1.2523047914334597,0.5379948616027832,12
Regulation Of Rhodopsin Mediated Signaling Pathway (GO:0022400),1.2521864178364401,0.5561931133270264,8
Aspartate Metabolic Process (GO:0006531),1.252000427362896,0.5693302750587463,5
Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),1.251718875426783,0.5314809679985046,24
Citrulline Metabolic Process (GO:0000052),1.2516726942162804,0.5033707022666931,6
Regulation Of Protein Exit From Endoplasmic Reticulum (GO:0070861),1.2516536468203991,0.5467710494995117,11
Lymphocyte Chemotaxis (GO:0048247),1.2515225851547387,0.4680091142654419,44
Regulation Of Keratinocyte Differentiation (GO:0045616),1.2514888433231908,0.5171025991439819,26
Cytokine-Mediated Signaling Pathway (GO:0019221),1.2513827795090628,0.19536904990673065,257
Telomere Maintenance Via Telomerase (GO:0007004),1.250740605652602,0.5423935055732727,19
RNA-templated DNA Biosynthetic Process (GO:0006278),1.250740605652602,0.5423935055732727,19
Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),1.2507242640540734,0.3889838755130768,86
Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236),1.2505579244553127,0.5314809679985046,15
"Regulation Of Phagocytosis, Engulfment (GO:0060099)",1.250318070041207,0.5569362044334412,10
Regulation Of Glycoprotein Biosynthetic Process (GO:0010559),1.2503113375088133,0.5488505959510803,10
Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),1.2502119993795564,0.5210597515106201,8
Positive Regulation By Host Of Viral Genome Replication (GO:0044829),1.2499161038136473,0.5171025991439819,7
Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201),1.249697984171271,0.5226455926895142,16
"Establishment Of Mitochondrion Localization, Microtubule-Mediated (GO:0034643)",1.2492875554679763,0.5274621248245239,5
Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900225),1.2492356441149337,0.5017886757850647,33
Negative Regulation Of mRNA Processing (GO:0050686),1.2490470641193392,0.5561931133270264,15
"Positive Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)",1.248748863380938,0.5569362044334412,7
Positive Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901838),1.2482204204236127,0.5423935055732727,9
Response To Alcohol (GO:0097305),1.2479917145370172,0.4945102035999298,29
GPI Anchor Biosynthetic Process (GO:0006506),1.2478929247902484,0.5171025991439819,30
Nucleoside Metabolic Process (GO:0009116),1.2477442462420012,0.5379948616027832,9
Atrial Septum Morphogenesis (GO:0060413),1.2477099823901954,0.5522701740264893,10
Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719),1.2476298455923545,0.5588831901550293,8
Pentose-Phosphate Shunt (GO:0006098),1.247450964492575,0.5423935055732727,11
Regulation Of Amide Metabolic Process (GO:0034248),1.2474037333331338,0.4782258868217468,41
Late Endosome To Lysosome Transport (GO:1902774),1.2470304974185393,0.5456305146217346,16
Sister Chromatid Segregation (GO:0000819),1.2466200514364179,0.5193859934806824,34
Golgi To Vacuole Transport (GO:0006896),1.2465680858027266,0.5522701740264893,17
Carboxylic Acid Transport (GO:0046942),1.2464306017751496,0.4210360646247864,53
Histone Deubiquitination (GO:0016578),1.2461735999181371,0.5423935055732727,34
Platelet Aggregation (GO:0070527),1.2460309914341712,0.4977106750011444,35
Negative Regulation Of Leukocyte Degranulation (GO:0043301),1.2455954845545123,0.5425965785980225,8
Cellular Response To Thyroid Hormone Stimulus (GO:0097067),1.2453743058182762,0.5522701740264893,11
Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),1.245213099109,0.5743929147720337,18
Protein Localization To Organelle (GO:0033365),1.245002407548754,0.31180211901664734,137
Regulation Of Macrophage Cytokine Production (GO:0010935),1.2448637438963563,0.5522701740264893,13
Endoplasmic Reticulum Tubular Network Organization (GO:0071786),1.2441914284210704,0.5423935055732727,16
Negative Regulation Of Blood Pressure (GO:0045776),1.2435298631406924,0.5496026277542114,14
Leptin-Mediated Signaling Pathway (GO:0033210),1.2434994568531594,0.534183144569397,8
GMP Metabolic Process (GO:0046037),1.2434760711166448,0.5616623759269714,8
Neuroepithelial Cell Differentiation (GO:0060563),1.2433821415148658,0.522758960723877,7
Positive Regulation Of Response To Wounding (GO:1903036),1.243052753237826,0.5424258708953857,27
Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway (GO:0070432),1.242059440352333,0.5467710494995117,6
Regulation Of Extracellular Exosome Assembly (GO:1903551),1.2416176975889923,0.5485019683837891,5
Positive Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900017),1.241556661274236,0.5708328485488892,18
Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Phospholipase C-activating G Protein-Coupled Signaling Pathway (GO:0051482),1.2413508852878536,0.5525642037391663,27
Store-Operated Calcium Entry (GO:0002115),1.2407356433914278,0.5702222585678101,7
Cellular Response To Type II Interferon (GO:0071346),1.2405036675202807,0.46987929940223694,66
Protein Lipidation (GO:0006497),1.2402502509572917,0.45701852440834045,62
Regulation Of Protein Import Into Nucleus (GO:0042306),1.240234545899228,0.4945102035999298,38
Long-Chain fatty-acyl-CoA Biosynthetic Process (GO:0035338),1.2401233163396175,0.5379948616027832,17
Positive Regulation Of Catabolic Process (GO:0009896),1.2398289006095928,0.41200339794158936,79
Phosphatidylinositol Acyl-Chain Remodeling (GO:0036149),1.239406114324591,0.5467710494995117,5
Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744),1.2391370692557808,0.5614697933197021,22
Nucleotide Metabolic Process (GO:0009117),1.2389518503373118,0.5561931133270264,12
Endoplasmic Reticulum Organization (GO:0007029),1.2383179908593234,0.48917824029922485,54
Cellular Response To Xenobiotic Stimulus (GO:0071466),1.2382421511809363,0.5630658864974976,26
Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824),1.2380409554516587,0.47602421045303345,44
Negative Regulation Of Translational Initiation (GO:0045947),1.2380317907367209,0.5672838091850281,13
HALLMARK_COAGULATION,1.2379894901361885,0.3204595446586609,138
Proton-Transporting V-type ATPase Complex Assembly (GO:0070070),1.2378436616106192,0.5456305146217346,5
Regulation Of Myotube Differentiation (GO:0010830),1.2377842460544115,0.5628411173820496,23
"Negative Regulation Of DNA-templated Transcription, Elongation (GO:0032785)",1.2377708604587545,0.5522701740264893,18
Negative Regulation Of Kinase Activity (GO:0033673),1.2376637534533381,0.4699059724807739,62
Notch Receptor Processing (GO:0007220),1.2375731290261252,0.5670297145843506,7
Mitotic Cell Cycle Phase Transition (GO:0044772),1.2373665647716103,0.37413960695266724,111
Methylguanosine-Cap Decapping (GO:0110156),1.2371623660770061,0.5528749227523804,11
Regulation Of DNA Methylation-Dependent Heterochromatin Formation (GO:0090308),1.2371455437572048,0.5628411173820496,17
Regulation Of Stem Cell Population Maintenance (GO:2000036),1.2368103897002813,0.4911511242389679,56
Lipoxygenase Pathway (GO:0019372),1.2367040297784848,0.5488505959510803,7
Regulation Of Bone Resorption (GO:0045124),1.2366975548281176,0.5467710494995117,28
Regulation Of IRE1-mediated Unfolded Protein Response (GO:1903894),1.2366923977310869,0.5751937627792358,13
Melanosome Organization (GO:0032438),1.2366412026367035,0.505448043346405,37
Negative Regulation Of Cation Channel Activity (GO:2001258),1.2366340546521106,0.5522701740264893,28
Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315),1.2362567649625646,0.5571775436401367,11
Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280),1.2362567649625646,0.5571775436401367,11
"Protein Import Into Peroxisome Matrix, Receptor Recycling (GO:0016562)",1.236125428048077,0.5379948616027832,6
Attachment Of GPI Anchor To Protein (GO:0016255),1.2359737165686362,0.5522701740264893,5
Oxygen Transport (GO:0015671),1.235881815380808,0.5818412899971008,10
Odontogenesis (GO:0042476),1.235616847223528,0.5376458764076233,39
Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),1.2353462580903454,0.5281763672828674,32
Notochord Development (GO:0030903),1.2352153708049967,0.5528749227523804,5
