pathway,NES,padj,size
Macromolecule Biosynthetic Process (GO:0009059),1.5825597277037073,0.0,183
Protein Targeting To Mitochondrion (GO:0006626),1.5821033541273708,0.03315972164273262,59
Regulation Of Viral Entry Into Host Cell (GO:0046596),1.5811258026022512,0.0,44
"Synaptic Transmission, Cholinergic (GO:0007271)",1.580383284012899,0.03513335809111595,16
Central Nervous System Neuron Axonogenesis (GO:0021955),1.578556483681361,0.11221267282962799,11
Natural Killer Cell Activation Involved In Immune Response (GO:0002323),1.5777220950267417,0.0347667820751667,22
Antimicrobial Humoral Response (GO:0019730),1.5764177053553756,0.0,100
Regulation Of Monocyte Differentiation (GO:0045655),1.575923616352665,0.10790960490703583,15
Protein N-linked Glycosylation (GO:0006487),1.574932405899356,0.0,64
Mitochondrial Respirasome Assembly (GO:0097250),1.5706015133069295,0.06661144644021988,10
Biomineral Tissue Development (GO:0031214),1.5701179135173626,0.0918143093585968,9
Protein Targeting To ER (GO:0045047),1.5690784586711273,0.0347667820751667,23
Establishment Of Protein Localization To Endoplasmic Reticulum (GO:0072599),1.568295921526483,0.10617747157812119,16
protein-DNA Complex Disassembly (GO:0032986),1.5675265085595254,0.14229460060596466,20
Positive Regulation Of Respiratory Burst (GO:0060267),1.5665843140240134,0.09351503103971481,8
Lactate Metabolic Process (GO:0006089),1.563913090388087,0.06661144644021988,7
Regulation Of Trophoblast Cell Migration (GO:1901163),1.5603452552445214,0.06342542171478271,13
Cotranslational Protein Targeting To Membrane (GO:0006613),1.5602735308213371,0.14259052276611328,13
Peptide Cross-Linking (GO:0018149),1.5581468070215376,0.13764065504074097,27
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.55639399008128,0.0,200
Regulation Of T Cell Receptor Signaling Pathway (GO:0050856),1.5562667184121848,0.0831015482544899,34
Positive Regulation Of Monocyte Differentiation (GO:0045657),1.5546522322519183,0.0,9
Mitochondrion Transport Along Microtubule (GO:0047497),1.5539408566279345,0.10734644532203674,14
Proton Transmembrane Transport (GO:1902600),1.5499682423720944,0.05919530615210533,49
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),1.546485668502684,0.10478056222200394,17
Glycolytic Process (GO:0006096),1.5459963601502855,0.0,29
Positive Regulation Of Interleukin-12 Production (GO:0032735),1.5455412718796846,0.06009528785943985,33
U2-type Prespliceosome Assembly (GO:1903241),1.5428668043821856,0.08484220504760742,23
Regulation Of Endopeptidase Activity (GO:0052548),1.5385842176952274,0.0,69
Lipoprotein Catabolic Process (GO:0042159),1.537129086156584,0.1595139056444168,10
Protein Import Into Mitochondrial Matrix (GO:0030150),1.5358408903629923,0.14014920592308044,18
Protein Insertion Into Mitochondrial Membrane (GO:0051204),1.5333172962261556,0.1493854820728302,28
Adrenal Gland Development (GO:0030325),1.5324775590773512,0.15776218473911285,9
Positive Regulation Of Cytoplasmic Translation (GO:2000767),1.5316834250904303,0.06342542171478271,14
Lysosomal Lumen Acidification (GO:0007042),1.5316653019495088,0.06264422088861465,18
Leukocyte Tethering Or Rolling (GO:0050901),1.531596342327958,0.10617747157812119,17
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.5284135064472875,0.0,105
Regulation Of Leukocyte Migration (GO:0002685),1.5267894056782934,0.15409313142299652,13
Regulation Of B Cell Proliferation (GO:0030888),1.524466955596403,0.08171123266220093,44
Response To Unfolded Protein (GO:0006986),1.5218232029021537,0.033502474427223206,44
Positive Regulation By Symbiont Of Entry Into Host (GO:0075294),1.5215082336290426,0.14321784675121307,12
Positive Regulation Of Viral Entry Into Host Cell (GO:0046598),1.5215082336290426,0.14321784675121307,12
Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116),1.5211398527308961,0.10462170839309692,24
Intracellular Protein Transmembrane Transport (GO:0065002),1.5203097933896976,0.08102375268936157,46
Positive Regulation Of Amyloid-Beta Clearance (GO:1900223),1.519723581037537,0.1128704622387886,6
Hexose Biosynthetic Process (GO:0019319),1.518845821742515,0.06009528785943985,35
Nucleosome Disassembly (GO:0006337),1.516370344142805,0.1878265142440796,18
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),1.51607297906327,0.0,65
Modification-Dependent Macromolecule Catabolic Process (GO:0043632),1.5154183115531716,0.1495233029127121,8
Negative Regulation Of Viral Genome Replication (GO:0045071),1.5137995572074987,0.03315972164273262,53
Positive Regulation Of B Cell Activation (GO:0050871),1.5134193497821085,0.0,52
Endodermal Cell Differentiation (GO:0035987),1.5119437994165754,0.11905716359615326,31
Positive Regulation Of Viral Life Cycle (GO:1903902),1.5118105838703042,0.10478056222200394,22
Positive Regulation Of B Cell Differentiation (GO:0045579),1.5101112916571318,0.17759902775287628,10
Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816),1.5100097687589054,0.16220806539058685,16
Pyruvate Metabolic Process (GO:0006090),1.5100036986877539,0.08131943643093109,50
Negative Regulation Of T Cell Apoptotic Process (GO:0070233),1.509332965491386,0.11321873217821121,7
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),1.5088964464588919,0.12322580814361572,16
Ribosomal Large Subunit Biogenesis (GO:0042273),1.5060608247027183,0.10144013166427612,54
Positive Regulation Of Myoblast Differentiation (GO:0045663),1.503971465147944,0.11761083453893661,38
SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614),1.5025221806116673,0.14351460337638855,10
Response To Endoplasmic Reticulum Stress (GO:0034976),1.501378535554044,0.0,114
Ribosome Biogenesis (GO:0042254),1.4999489695869912,0.0,155
Membrane Protein Intracellular Domain Proteolysis (GO:0031293),1.4992251614641587,0.16220806539058685,13
Negative Regulation Of Lymphocyte Differentiation (GO:0045620),1.4986990106013014,0.13764065504074097,6
Positive Regulation Of B Cell Proliferation (GO:0030890),1.4985890423717068,0.14842833578586578,29
rRNA Processing (GO:0006364),1.4977652414866707,0.03315972164273262,101
