gene,score,logfoldchange,pval,pval_adj
MT-ND2,200.64279174804688,2.409818410873413,0.0,0.0
IGKC,193.90963745117188,2.3198323249816895,0.0,0.0
IGHG1,185.67730712890625,2.443556070327759,0.0,0.0
MT-CO3,164.78575134277344,1.249047875404358,0.0,0.0
MT-CO2,148.97732543945312,1.1373969316482544,0.0,0.0
TMSB4X,142.2117919921875,0.8324687480926514,0.0,0.0
MT-ND4L,140.32928466796875,1.1281217336654663,0.0,0.0
IGHA1,134.8888397216797,1.810612678527832,0.0,0.0
COL1A1,132.6342010498047,1.6235278844833374,0.0,0.0
TMSB10,129.39059448242188,1.122759222984314,0.0,0.0
COL3A1,128.91534423828125,1.7662715911865234,0.0,0.0
MT-ATP6,126.51280975341797,0.9983533024787903,0.0,0.0
MT-CYB,125.46122741699219,1.090785026550293,0.0,0.0
IGHG3,123.77638244628906,3.6736836433410645,0.0,0.0
MT-ND4,123.01897430419922,0.9581497311592102,0.0,0.0
CD74,106.0584487915039,0.8444097638130188,0.0,0.0
IGHM,105.10819244384766,2.1697874069213867,0.0,0.0
B2M,102.2236557006836,0.6730656027793884,0.0,0.0
ACTB,102.18993377685547,0.7181686162948608,0.0,0.0
UBA52,98.20136260986328,1.093569040298462,0.0,0.0
PFN1,95.79887390136719,0.8630265593528748,0.0,0.0
TIMP1,92.01190948486328,1.2213155031204224,0.0,0.0
MT-ND6,91.78399658203125,0.741815984249115,0.0,0.0
OAZ1,91.20171356201172,0.6915596127510071,0.0,0.0
MT-ND3,91.17096710205078,0.9130284190177917,0.0,0.0
MDK,90.23139190673828,2.18886137008667,0.0,0.0
ITM2C,89.06249237060547,1.4123965501785278,0.0,0.0
ACTG1,87.55183410644531,0.8428840041160583,0.0,0.0
CFL1,86.42850494384766,0.8741670250892639,0.0,0.0
EEF2,85.63053131103516,0.7150773406028748,0.0,0.0
COL1A2,85.47027587890625,1.0386406183242798,0.0,0.0
TAP1,85.17431640625,0.9269484877586365,0.0,0.0
MT-ND1,84.68207550048828,0.9704777598381042,0.0,0.0
CXCR4,83.77909088134766,1.1459029912948608,0.0,0.0
IFI6,82.17484283447266,1.0135102272033691,0.0,0.0
EEF1G,82.10501098632812,0.9833657741546631,0.0,0.0
MARCKSL1,81.44422912597656,1.7108548879623413,0.0,0.0
ENO1,80.86345672607422,1.1300379037857056,0.0,0.0
CYBA,79.66452026367188,0.7757289409637451,0.0,0.0
TAPBP,78.7059555053711,0.6302573680877686,0.0,0.0
CTSZ,78.20690155029297,0.7984490990638733,0.0,0.0
LY6E,77.81828308105469,0.7961885333061218,0.0,0.0
STAT1,77.43384552001953,0.8753926157951355,0.0,0.0
CTSB,77.08062744140625,0.7344968914985657,0.0,0.0
TXNDC5,75.0640640258789,0.9788289666175842,0.0,0.0
JCHAIN,75.00933074951172,1.2417658567428589,0.0,0.0
PSMB8,74.27725219726562,0.9185953736305237,0.0,0.0
IL32,74.07997131347656,0.7748137712478638,0.0,0.0
LAPTM5,73.3465576171875,0.825332760810852,0.0,0.0
BST2,73.33160400390625,0.8102031350135803,0.0,0.0
ARHGDIB,72.87028503417969,0.7205769419670105,0.0,0.0
KRT8,72.81845092773438,0.9647784233093262,0.0,0.0
MIF,70.8451919555664,1.114213228225708,0.0,0.0
NME2,70.80911254882812,1.1901875734329224,0.0,0.0
RACK1,70.65631103515625,0.6858076453208923,0.0,0.0
CTHRC1,69.7357177734375,2.9159765243530273,0.0,0.0
HSPB1,69.68006896972656,0.66836017370224,0.0,0.0
TOMM7,69.51932525634766,0.8075449466705322,0.0,0.0
CRABP2,69.42637634277344,2.9456517696380615,0.0,0.0
LGALS3BP,69.22708129882812,0.7087693810462952,0.0,0.0
SSR4,69.0799331665039,1.1300580501556396,0.0,0.0
FXYD5,68.21234130859375,0.7222665548324585,0.0,0.0
ARPC1B,67.99886322021484,0.8639843463897705,0.0,0.0
PSME1,67.60181427001953,0.6918457746505737,0.0,0.0
DDIT4,67.59381866455078,1.0241831541061401,0.0,0.0
XBP1,67.29154205322266,0.7415140271186829,0.0,0.0
RGS1,66.97465515136719,1.15016508102417,0.0,0.0
IL2RG,66.01774597167969,0.9337169528007507,0.0,0.0
LCP1,65.46051025390625,0.7305149435997009,0.0,0.0
LSP1,65.40559387207031,0.7483758330345154,0.0,0.0
SH3BGRL3,64.48947143554688,0.6875356435775757,0.0,0.0
CHCHD2,64.17682647705078,1.0439201593399048,0.0,0.0
MT2A,63.989383697509766,0.9721726179122925,0.0,0.0
DAP,63.83878707885742,1.014777421951294,0.0,0.0
HSPA8,63.47270584106445,0.6556241512298584,0.0,0.0
MMP2,62.33618927001953,0.9055178165435791,0.0,0.0
HSP90AB1,61.78968811035156,0.7544227838516235,0.0,0.0
PKM,61.6728630065918,0.8530960083007812,0.0,0.0
EEF1B2,61.22566223144531,0.9555315375328064,0.0,0.0
TRAM1,61.10187911987305,0.6846221685409546,0.0,0.0
TRAC,61.018306732177734,1.054002046585083,0.0,0.0
PSMB9,60.416873931884766,0.7375333905220032,0.0,0.0
SPINT2,60.27353286743164,0.68394535779953,0.0,0.0
ERGIC3,60.22145080566406,0.6682720184326172,0.0,0.0
S100A9,60.05363082885742,1.0931397676467896,0.0,0.0
LTB,59.593658447265625,1.4876915216445923,0.0,0.0
