pathway,NES,padj,size
Fat Cell Differentiation (GO:0045444),1.5643345435829095,0.0,62
Mesenchyme Morphogenesis (GO:0072132),1.559371588849822,0.35393857955932617,18
Atrial Septum Morphogenesis (GO:0060413),1.5579625968758593,0.3737137019634247,10
Cell Differentiation In Hindbrain (GO:0021533),1.5576586257050329,0.3555956184864044,11
Response To Catecholamine (GO:0071869),1.5572783827147443,0.4030902683734894,5
Camera-Type Eye Morphogenesis (GO:0048593),1.5489362198595646,0.4517146348953247,9
Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002924),1.5451103067701455,0.39219048619270325,9
Pulmonary Valve Development (GO:0003177),1.5374698838495209,0.3398267924785614,20
Embryonic Axis Specification (GO:0000578),1.5367958998672144,0.34480980038642883,17
Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor (GO:2000544),1.5341452332775365,0.4452214539051056,6
Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385),1.5338153318358403,0.42120441794395447,12
Cell-Cell Junction Maintenance (GO:0045217),1.5301231017411834,0.41700151562690735,12
Natural Killer Cell Differentiation (GO:0001779),1.5280896809552005,0.41125375032424927,7
Vocal Learning (GO:0042297),1.5270177353322725,0.35393857955932617,5
Imitative Learning (GO:0098596),1.5270177353322725,0.35393857955932617,5
Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000322),1.5269357980498894,0.41700151562690735,6
Kidney Mesenchyme Development (GO:0072074),1.520608143876939,0.41125375032424927,7
mRNA Splice Site Recognition (GO:0006376),1.5181880712631783,0.3412106931209564,29
Adult Heart Development (GO:0007512),1.5174510440203397,0.4436149597167969,8
Regulation Of Relaxation Of Cardiac Muscle (GO:1901897),1.5162536434354024,0.41123655438423157,5
Sensory Perception Of Smell (GO:0007608),1.5102899478573817,0.0,230
Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),1.5048238335196913,0.4668579697608948,7
Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469),1.503567871993425,0.41125375032424927,5
Response To Heparin (GO:0071503),1.5023889892546698,0.4608517289161682,5
Anterior/Posterior Pattern Specification (GO:0009952),1.5020634489145344,0.2799047529697418,59
"Regulation Of Complement Activation, Classical Pathway (GO:0030450)",1.4999650555292412,0.46266311407089233,8
